time,conc
2400,6.623462415
3000,6.581321185
3600,6.405922551
4200,6.211161731
4800,6.008428246
5400,5.973120729
6000,5.88428246
6600,5.814806378
7200,5.669020501
7800,5.399088838
8400,5.34214123
9000,5.060820046
9600,5.150797267
10200,4.918451025
10800,4.848974943
11400,4.556264237
12000,4.696355353
12600,4.495899772
13200,4.404783599
13800,4.556264237
14400,4.186104784
15000,3.959453303
15600,3.953758542
16200,3.889977221
16800,3.74191344
17400,3.776082005
18000,3.489066059
18600,3.451480638
19200,3.328473804
19800,3.254441913
20400,3.124601367
21000,2.989066059
21600,3.040318907
22200,3.038041002
22800,2.822779043
23400,2.674715262
24000,2.62118451
24600,2.610933941
25200,2.483371298
25800,2.351252847
26400,2.35808656
27000,2.196355353
27600,2.132574032
28200,2.197494305
28800,2.146241458
29400,1.896810934
30000,1.932118451
30600,1.745330296
31200,1.646241458
